profit_rank,crop,predicted_yield,modal_price,expected_revenue,cost_per_hectare,net_profit
4902,Wheat,27.8790762347,2580.0,71928.016685526,30000.0,41928.016685526
4903,Wheat,27.8790762347,2575.0,71788.6213043525,30000.0,41788.621304352506
4904,Wheat,27.8790762347,2575.0,71788.6213043525,30000.0,41788.621304352506
4905,Wheat,27.8790762347,2570.0,71649.22592317901,30000.0,41649.22592317901
4906,Rice,35.149150354499895,2165.0,76097.91051749227,35000.0,41097.91051749227
4907,Wheat,27.8790762347,2550.0,71091.644398485,30000.0,41091.644398485005
4908,Wheat,27.8790762347,2550.0,71091.644398485,30000.0,41091.644398485005
4909,Wheat,27.8790762347,2550.0,71091.644398485,30000.0,41091.644398485005
4910,Wheat,27.8790762347,2550.0,71091.644398485,30000.0,41091.644398485005
4911,Wheat,27.8790762347,2550.0,71091.644398485,30000.0,41091.644398485005
4912,Maize,30.010162386350007,2300.0,69023.37348860502,28000.0,41023.37348860502
4913,Maize,42.904292524649975,1608.0,68990.10237963716,28000.0,40990.10237963716
4914,Maize,28.4897017438,2420.0,68945.07821999601,28000.0,40945.07821999601
4915,Maize,55.15243032599997,1250.0,68940.53790749997,28000.0,40940.537907499966
4916,Maize,28.433521692100065,2420.0,68809.12249488216,28000.0,40809.12249488216
4917,Maize,30.010162386350007,2290.0,68723.27186474152,28000.0,40723.27186474152
4918,Wheat,27.8790762347,2535.0,70673.4582549645,30000.0,40673.4582549645
4919,Maize,42.904292524649975,1600.0,68646.86803943996,28000.0,40646.868039439956
4920,Maize,42.904292524649975,1600.0,68646.86803943996,28000.0,40646.868039439956
4921,Maize,42.904292524649975,1600.0,68646.86803943996,28000.0,40646.868039439956
4922,Rice,34.93731452734988,2165.0,75639.2859517125,35000.0,40639.2859517125
4923,Wheat,27.8790762347,2526.0,70422.54656885221,30000.0,40422.54656885221
4924,Wheat,27.8790762347,2525.0,70394.6674926175,30000.0,40394.667492617504
4925,Wheat,27.8790762347,2525.0,70394.6674926175,30000.0,40394.667492617504
4926,Wheat,27.8790762347,2525.0,70394.6674926175,30000.0,40394.667492617504
4927,Wheat,27.8790762347,2525.0,70394.6674926175,30000.0,40394.667492617504
4928,Maize,28.4897017438,2400.0,68375.28418512,28000.0,40375.28418512001
4929,Maize,28.4897017438,2400.0,68375.28418512,28000.0,40375.28418512001
4930,Wheat,27.8790762347,2520.0,70255.272111444,30000.0,40255.27211144401
4931,Maize,28.433521692100065,2400.0,68240.45206104015,28000.0,40240.45206104015
4932,Maize,28.433521692100065,2400.0,68240.45206104015,28000.0,40240.45206104015
4933,Wheat,27.8790762347,2510.0,69976.481349097,30000.0,39976.481349097
4934,Wheat,27.8790762347,2510.0,69976.481349097,30000.0,39976.481349097
4935,Wheat,27.8790762347,2510.0,69976.481349097,30000.0,39976.481349097
4936,Maize,31.90327881525005,2130.0,67953.98387648261,28000.0,39953.98387648261
4937,Maize,31.8898728053,2130.0,67925.42907528901,28000.0,39925.42907528901
4938,Wheat,27.8790762347,2508.0,69920.7231966276,30000.0,39920.7231966276
4939,Maize,29.52311212339993,2300.0,67903.15788381983,28000.0,39903.15788381983
4940,Wheat,27.8790762347,2505.0,69837.0859679235,30000.0,39837.0859679235
4941,Wheat,27.8790762347,2505.0,69837.0859679235,30000.0,39837.0859679235
4942,Maize,42.904292524649975,1580.0,67788.78218894696,28000.0,39788.78218894696
4943,Wheat,27.8790762347,2500.0,69697.69058675,30000.0,39697.69058675
4944,Wheat,27.8790762347,2500.0,69697.69058675,30000.0,39697.69058675
4945,Wheat,27.8790762347,2500.0,69697.69058675,30000.0,39697.69058675
4946,Wheat,27.8790762347,2500.0,69697.69058675,30000.0,39697.69058675
4947,Wheat,27.8790762347,2500.0,69697.69058675,30000.0,39697.69058675
4948,Wheat,27.8790762347,2500.0,69697.69058675,30000.0,39697.69058675
4949,Wheat,27.8790762347,2500.0,69697.69058675,30000.0,39697.69058675
4950,Wheat,27.8790762347,2500.0,69697.69058675,30000.0,39697.69058675
4951,Wheat,27.8790762347,2500.0,69697.69058675,30000.0,39697.69058675
4952,Wheat,27.8790762347,2500.0,69697.69058675,30000.0,39697.69058675
4953,Wheat,27.8790762347,2500.0,69697.69058675,30000.0,39697.69058675
4954,Wheat,27.8790762347,2500.0,69697.69058675,30000.0,39697.69058675
